IEM_name,num_of_files,preference_pct,average_error_dB,slope_of_error,STDEV_of_error,variance,highest_preference_pct,lowest_preference_pct
Moondrop Variations,31,95.7,0.8631809939193102,8.174724386182615e-05,0.7886904779473507,0.6220326700048205,95.89,91.03
Google Pixel Buds Pro,1,95.61,0.8796798665904854,9.76470864986357e-05,0.9586510065787859,0.9190117524145193,95.62,95.62
ThieAudio Monarch,55,95.4,0.9237014005457554,4.053678246189534e-05,0.6634068036161657,0.44010858708421785,96.19,90.25
Letshouer Conductor,6,95.24,0.9556115883596944,6.370501635667933e-05,0.6965440627342885,0.4851736313303884,95.63,90.59
Elysian Acoustic Labs X,3,94.84,1.0350647986074926,0.00019966925024703178,1.314043634710594,1.726710673923429,94.89,91.68
AKG N5005,11,94.73,1.0575008042525063,6.475714257110343e-05,0.869438027738296,0.755922484077458,94.06,90.92
Moondrop Quarks DSP,36,94.65,1.0726890828760247,0.00016586044270773336,1.0920376455214558,1.1925462192360445,95.27,90.45
Truthear x Crinacle Zero:Red,19,94.54,1.0958444127327618,0.00020180344975104467,1.4618149728420158,2.136903014825103,94.55,91.56
ThieAudio Clairvoyance,8,94.51,1.1014427967216598,9.925453478148572e-05,1.0086284394997067,1.0173313289676134,94.62,90.05
ThieAudio Monarch MKII,1,94.51,1.1011311673391977,0.00024377718008786555,1.4695825373488787,2.1596728340807685,94.51,94.51
Moondrop S8,15,94.39,1.1245922143482006,0.0001407345114144457,1.0686906856611387,1.142099781618875,94.66,91.0
Letshouer OGK,2,94.36,1.1314161051913065,0.0001749103113540876,1.353618416182783,1.8322828166291856,94.51,94.04
Symphonium Helios,49,94.34,1.1358654078304267,0.00016084537361370013,1.2003089025824185,1.44074146161861,95.17,89.18
Moondrop Blessing 2: Dusk,51,94.26,1.1520885793281226,0.000140779318870438,1.0190642064838116,1.0384918569364807,94.93,90.53
Samsung Galaxy Buds 2,2,94.16,1.1721102977381863,0.0002222352898210989,1.2942694168420816,1.6751333233727421,95.1,88.95
7th Acoustic Stargazer EST 7,2,94.11,1.1817306717945124,0.00018455572678771187,1.4864922388331323,2.209659176111138,94.04,94.03
AKG N400,4,94.09,1.1859323237766426,0.00039719851938466584,2.4343240955456618,5.925933802154205,93.44,90.89
Moondrop Blessing 3,19,94.08,1.1871611681089527,0.00010462558029610797,1.1153142545906964,1.2439258864932008,94.33,90.81
KZ PR2,23,94.05,1.1942985016272682,0.00021591448129774205,1.3058832350257137,1.7053310235212236,94.84,87.27
Letshouer 'Kinda Lava' EJ07M,26,93.95,1.2136027788063313,7.916283814639076e-05,0.9944963612754815,0.9890230125901729,94.83,88.78
Truthear Zero,61,93.95,1.2142243284046743,0.00015492826073770083,1.2593711981947322,1.5860158148424357,94.63,79.22
7th Acoustic Stargazer 3,4,93.94,1.2160657789931455,0.00014330301908009786,1.2202713936711578,1.4890622742121495,93.88,92.37
Mangird Xenns Tea,17,93.93,1.2176400626300043,9.760666126889275e-05,1.223329011888501,1.4965338713280962,92.99,86.9
HBB Sample 'KH',1,93.91,1.221060583061366,0.000264426437395223,1.536878325154443,2.3619949863295253,93.91,93.91
Empire Ears Odin,11,93.91,1.2220089149736482,0.00014486206830623474,1.2579942068355514,1.5825494244318081,93.1,91.01
7Hz Salnotes Zero,53,93.89,1.2261216134538357,0.0001658942835914301,1.2547568313711683,1.5744147058726143,94.58,74.2
Clariar i640,2,93.89,1.2261504541221864,0.0001737789333636843,1.2764663308398674,1.6293662937677937,93.59,93.14
Etymotic ER2XR,34,93.86,1.2317288838848286,6.011718203556106e-05,0.8186032081327215,0.6701112123651837,93.87,86.61
Tangzu Audio Zetian Wu,9,93.8,1.2446893078078916,0.00012659008864035582,1.1229287191910509,1.2609689083840538,94.5,89.3
ThieAudio Divinity V16,10,93.8,1.2432285077662264,1.610436256871596e-05,0.842636639812129,0.7100365067538755,93.96,91.39
Direm E3,1,93.7,1.263129189603928,0.00012392123169714545,1.153791602497977,1.3312350619948499,93.7,93.7
Raptgo Hook-X,46,93.69,1.2667798850377479,9.931104626701573e-05,1.134960751662734,1.288135907814838,94.16,90.26
Redeyes Not O2,3,93.64,1.2752445552307778,0.00033302355595308934,1.8660648497943126,3.4821980236378702,92.57,89.95
See Audio Yume II,14,93.54,1.2961613125308524,0.00015687574928695467,1.2820512833521527,1.643655493144902,93.42,91.41
Tanchjim Tanya DSP,6,93.48,1.3077924841416932,7.638814095925915e-05,1.1348203623175752,1.2878172547305926,93.38,89.04
Moondrop Lan,39,93.43,1.3184768901721409,9.017497921569465e-05,1.1255241498664896,1.2668046119326843,94.23,89.85
7th Acoustic Supernova,47,93.4,1.3245631661277582,0.00011683225460047405,1.0692556763913768,1.1433077014951805,93.65,90.07
Softears Volume,49,93.37,1.3304000139962593,0.00019873672520476793,1.5627392268887441,2.4421538912568295,94.63,80.01
Tin HiFi T3,12,93.33,1.337888616392308,9.62979304184918e-05,1.1075894265880826,1.2267543378897174,93.88,77.24
Sony WF-C500,1,93.29,1.3464488333076055,0.00014240771135065483,1.2175634204191983,1.4824606827428977,93.29,93.29
Shortbus Unknown Planar 'B',1,93.24,1.3554653077111383,8.888300918198305e-05,1.195766555726793,1.4298576557947176,93.24,93.24
KiiBOOM Evoke,8,93.22,1.360659188500511,0.00038637005476555134,2.5652294657297667,6.5804022118482255,93.26,91.58
ThieAudio Oracle,27,93.21,1.3628093765418763,0.00020524515099382926,1.502625165930415,2.257882389287407,93.91,88.25
KZ D-Fi,61,93.2,1.3644340662115941,0.00017586987405091538,1.5154213819553368,2.296501964887423,94.95,88.35
Cleer Alpha,6,93.2,1.36343518416031,0.00013024054474154452,1.3095574920459052,1.714940824973561,92.1,76.28
Truthear HEXA,53,93.13,1.377977703368165,1.2682393939738977e-05,0.8698187602748099,0.7565846757260072,94.33,77.76
Samsung Galaxy Buds Plus,4,93.12,1.3798632710669316,0.0002910172989009381,2.011218097879377,4.0449982372375395,93.97,89.82
Elysian Acoustic Labs x Effect Audio Gaea,21,93.06,1.3923263080979094,0.0003603959967439742,2.2252968212236146,4.951945942547924,92.59,88.47
Whizzer HE10,2,93.04,1.396574833805335,9.63561124671759e-05,1.253433383143908,1.5710952459795828,93.18,92.82
HBB Sample '22',3,93.03,1.3975866824508383,0.0001602395189812443,1.2063763718732066,1.4553439506139612,91.56,81.26
HBB Sample 'K',1,93.01,1.4025955335807583,0.00036786861526335576,2.1602722359942956,4.666776133607794,93.0,93.0
HBB Sample 'KL',1,92.96,1.4114810857694775,0.00038372476406351965,2.2128368452767573,4.896646903814391,92.96,92.96
Letshouer EJ07M,43,92.96,1.4125353142874975,7.291782141973841e-05,0.8091507166708045,0.6547248822888765,95.31,87.25
Shortbus Letshouer EJ07,2,92.93,1.4179016262700452,0.0002869778693883953,1.6300622358467691,2.657102892733768,92.7,92.33
7th Acoustic Stargazer 1,2,92.93,1.4181156565186785,0.0001808901711864169,1.5297973674584393,2.340279985482771,93.06,92.63
7th Acoustic Prototype-3,2,92.92,1.4211684976941303,0.0004225707670849626,2.4602075353034674,6.052621116763962,93.4,92.3
Tanchjim Oxygen,32,92.92,1.4198622017813487,0.00020411369151592196,1.5509197997370807,2.4053522252165065,92.73,84.32
ThieAudio Oracle MKII,2,92.87,1.43129939174367,0.00022611395075106325,1.473642014869887,2.17162078798978,93.83,91.78
Softears RSV,24,92.87,1.4306208247346255,0.00013655402800708972,1.328309005040922,1.7644048128728045,93.61,87.28
DUNU Titan S,45,92.86,1.432823208670466,6.857224097957426e-05,1.1481770700275202,1.318310584136981,94.03,36.59
TForce Audio Yuan Li,6,92.86,1.4330029376322932,0.0002974075185061571,2.144220661760606,4.597682246321092,92.62,88.39
GS Audio SD9,1,92.82,1.4401517550399348,7.34777335626659e-05,1.0638171235103984,1.131706872273938,92.82,92.82
KZ CRN,14,92.78,1.4481230770787727,0.0002108844146074389,1.7371851910071883,3.0178123878546814,93.05,90.23
ThieAudio Elixir,18,92.77,1.4495785513748654,0.00022835462967574324,1.622241497542051,2.6316674763474763,92.69,90.37
KZ EDA,52,92.76,1.4516509676910192,7.672344748416787e-05,1.2558206870302084,1.5770855979730245,93.14,86.07
Tripowin Olina SE,5,92.7,1.465099808727052,0.0001077364509228495,1.1943281686733103,1.426419774486543,92.62,91.29
Kiwi Ears Cadenza,10,92.68,1.4674872155246372,0.0002616306079938388,1.7490334608729132,3.059118047253081,93.58,90.51
Simgot EW100P,17,92.64,1.4765097531471085,0.00020014491372232998,1.4116857856003167,1.9928567572659832,93.28,90.84
HBB Sample 'BQE',1,92.64,1.4765234220466654,1.076290189715981e-05,1.0966259897737043,1.2025885614471568,92.64,92.64
Mangird Xenns Tea MKII,7,92.63,1.4788159453073073,1.5994972177620368e-05,0.959686264641396,0.9209977265413555,93.72,89.86
Moondrop Kato,54,92.62,1.4797397105960914,0.00010811349853983866,1.1596683514136643,1.344830685270486,93.21,77.33
KZ ZEX Pro,26,92.62,1.4799841155575457,0.0002511989104882849,1.8853340403833463,3.5544844438281933,92.91,89.04
Moondrop Sparks,25,92.6,1.4849447531016233,9.521546249734052e-05,1.2002096956415402,1.4405033135119587,92.7,83.6
DUNU SA6,24,92.56,1.4923310008490434,0.0001067319962510363,1.2040746909336195,1.4497958613468915,93.61,87.82
Moondrop Jiu,15,92.56,1.4916598970786503,0.00021062949976015876,1.421519378515702,2.020717343495668,94.14,89.86
AFUL Acoustics Band 5 Pro,3,92.54,1.4975271974449231,3.2459106091436263e-05,1.0588106392134724,1.1210799697116418,93.25,90.78
Tanchjim Echo,7,92.5,1.5048196290823639,0.0003210270049226527,2.341926346956115,5.484619014567214,92.85,86.14
Haylou GT1 Plus,1,92.49,1.5067105543697896,0.0001547414614827458,1.8284443109212383,3.3432085981402415,92.47,92.47
Tanchjim Prism,9,92.47,1.5109961123884625,0.00029969303842854113,2.0156442230542173,4.062821633931839,92.31,90.92
Moondrop Chu,71,92.43,1.5190153578958754,0.00015656223475147578,1.3033706677746177,1.698775097615253,94.05,88.5
Moondrop KXXS,29,92.37,1.529721298728047,0.00021499176256674073,1.7092309180000618,2.9214703310473342,93.1,89.87
Letshouer S12,56,92.35,1.535522203189557,0.0001332710433033427,1.347828441665124,1.8166415081614364,93.38,71.6
AFUL Acoustics Performer 5,40,92.34,1.5365535000109758,7.131103984906591e-05,1.2223331947396736,1.4940984389624967,93.78,83.13
Joyodio Shine,66,92.3,1.5445694992923829,0.00017783909020866956,1.5906540938011244,2.5301804461262765,93.08,84.39
Moondrop Aria,35,92.3,1.5450145033110014,0.00017211508562957418,1.4674529827938225,2.1534182567104865,92.2,67.49
