Freq[Hz]     dBSPL  Phase[Deg]
5.00000    123.785    -5.731
5.07273    123.783    -5.741
5.14651    123.779    -5.755
5.22137    123.774    -5.774
5.29732    123.769    -5.795
5.37437    123.763    -5.819
5.45254    123.758    -5.843
5.53185    123.752    -5.868
5.61231    123.746    -5.893
5.69394    123.740    -5.918
5.77676    123.734    -5.944
5.86079    123.729    -5.971
5.94604    123.723    -5.997
6.03252    123.717    -6.024
6.12027    123.711    -6.052
6.20929    123.706    -6.080
6.29961    123.700    -6.108
6.39124    123.694    -6.137
6.48420    123.688    -6.166
6.57851    123.682    -6.196
6.67420    123.677    -6.226
6.77128    123.671    -6.256
6.86977    123.665    -6.287
6.96969    123.659    -6.319
7.07107    123.654    -6.351
7.17392    123.648    -6.383
7.27827    123.642    -6.416
7.38413    123.636    -6.450
7.49154    123.630    -6.484
7.60050    123.625    -6.518
7.71105    123.619    -6.553
7.82321    123.613    -6.589
7.93701    123.607    -6.625
8.05245    123.602    -6.662
8.16958    123.596    -6.699
8.28841    123.590    -6.737
8.40896    123.584    -6.775
8.53128    123.578    -6.814
8.65537    123.573    -6.854
8.78126    123.567    -6.894
8.90899    123.561    -6.935
9.03857    123.555    -6.976
9.17004    123.549    -7.018
9.30342    123.544    -7.061
9.43874    123.538    -7.104
9.57603    123.532    -7.149
9.71532    123.526    -7.193
9.85663    123.521    -7.239
10.0000    123.515    -7.285
10.1455    123.509    -7.332
10.2930    123.503    -7.380
10.4427    123.497    -7.428
10.5946    123.492    -7.478
10.7487    123.486    -7.528
10.9051    123.480    -7.579
11.0637    123.474    -7.630
11.2246    123.469    -7.683
11.3879    123.463    -7.736
11.5535    123.457    -7.791
11.7216    123.451    -7.846
11.8921    123.445    -7.902
12.0650    123.440    -7.959
12.2405    123.434    -8.017
12.4186    123.428    -8.075
12.5992    123.422    -8.135
12.7825    123.417    -8.196
12.9684    123.411    -8.258
13.1570    123.405    -8.321
13.3484    123.399    -8.385
13.5426    123.393    -8.450
13.7395    123.388    -8.516
13.9394    123.382    -8.583
14.1421    123.376    -8.652
14.3478    123.370    -8.721
14.5565    123.365    -8.792
14.7683    123.359    -8.865
14.9831    123.353    -8.938
15.2010    123.347    -9.013
15.4221    123.341    -9.089
15.6464    123.336    -9.167
15.8740    123.330    -9.246
16.1049    123.324    -9.326
16.3392    123.318    -9.408
16.5768    123.313    -9.491
16.8179    123.307    -9.576
17.0626    123.301    -9.662
17.3107    123.295    -9.750
17.5625    123.289    -9.840
17.8180    123.284    -9.931
18.0771    123.278   -10.023
18.3401    123.272   -10.118
18.6068    123.266   -10.213
18.8775    123.260   -10.310
19.1521    123.255   -10.409
19.4306    123.249   -10.507
19.7133    123.243   -10.606
20.0000    123.238   -10.705
20.2909    123.233   -10.804
20.5860    123.230   -10.905
20.8855    123.228   -11.011
21.1893    123.226   -11.126
21.4975    123.226   -11.250
21.8102    123.226   -11.387
22.1274    123.226   -11.535
22.4492    123.226   -11.696
22.7758    123.226   -11.871
23.1071    123.226   -12.062
23.4432    123.226   -12.278
23.7841    123.224   -12.524
24.1301    123.217   -12.802
24.4811    123.200   -13.095
24.8372    123.170   -13.362
25.1984    123.134   -13.568
25.5649    123.098   -13.709
25.9368    123.067   -13.790
26.3141    123.048   -13.843
26.6968    123.040   -13.914
27.0851    123.038   -14.024
27.4791    123.038   -14.181
27.8788    123.037   -14.387
28.2843    123.032   -14.637
28.6957    123.021   -14.925
29.1131    122.995   -15.215
29.5365    122.959   -15.456
29.9661    122.923   -15.639
30.4020    122.888   -15.767
30.8442    122.864   -15.858
31.2929    122.854   -15.973
31.7480    122.846   -16.148
32.2098    122.837   -16.384
32.6783    122.815   -16.654
33.1536    122.782   -16.900
33.6359    122.746   -17.100
34.1251    122.710   -17.253
34.6215    122.682   -17.373
35.1250    122.666   -17.511
35.6359    122.653   -17.705
36.1543    122.633   -17.948
36.6802    122.602   -18.196
37.2137    122.567   -18.412
37.7550    122.531   -18.594
38.3041    122.499   -18.752
38.8613    122.475   -18.921
39.4265    122.452   -19.133
40.0000    122.422   -19.367
40.5818    122.386   -19.590
41.1721    122.349   -19.797
41.7710    122.311   -19.989
42.3785    122.278   -20.183
42.9949    122.243   -20.391
43.6203    122.204   -20.601
44.2548    122.163   -20.809
44.8985    122.119   -21.008
45.5515    122.070   -21.177
46.2141    122.025   -21.315
46.8863    121.985   -21.448
47.5683    121.946   -21.584
48.2602    121.911   -21.728
48.9621    121.878   -21.902
49.6743    121.840   -22.095
50.3968    121.801   -22.296
51.1299    121.757   -22.502
51.8736    121.708   -22.698
52.6281    121.660   -22.883
53.3936    121.611   -23.070
54.1702    121.556   -23.247
54.9581    121.495   -23.380
55.7575    121.442   -23.480
56.5685    121.393   -23.579
57.3914    121.344   -23.680
58.2261    121.298   -23.783
59.0730    121.253   -23.896
59.9323    121.209   -24.025
60.8040    121.163   -24.168
61.6884    121.115   -24.317
62.5857    121.066   -24.472
63.4960    121.014   -24.639
64.4196    120.953   -24.796
65.3566    120.892   -24.916
66.3073    120.835   -25.032
67.2717    120.772   -25.142
68.2502    120.709   -25.220
69.2429    120.654   -25.303
70.2501    120.591   -25.388
71.2719    120.528   -25.442
72.3086    120.472   -25.497
73.3603    120.409   -25.552
74.4274    120.349   -25.574
75.5099    120.299   -25.602
76.6083    120.249   -25.668
77.7226    120.198   -25.764
78.8531    120.145   -25.895
80.0000    120.081   -26.046
81.1636    120.005   -26.176
82.3442    119.921   -26.248
83.5419    119.837   -26.254
84.7570    119.758   -26.209
85.9899    119.688   -26.148
87.2406    119.619   -26.082
88.5096    119.558   -26.026
89.7970    119.498   -26.005
91.1031    119.430   -25.992
92.4282    119.361   -25.968
93.7726    119.288   -25.932
95.1366    119.212   -25.863
96.5204    119.142   -25.780
97.9243    119.069   -25.689
99.3486    118.997   -25.581
100.794    118.926   -25.467
102.260    118.848   -25.322
103.747    118.779   -25.149
105.256    118.710   -24.966
106.787    118.643   -24.760
108.340    118.587   -24.570
109.916    118.524   -24.398
111.515    118.461   -24.201
113.137    118.406   -24.013
114.783    118.343   -23.833
116.452    118.280   -23.624
118.146    118.223   -23.411
119.865    118.162   -23.195
121.608    118.101   -22.946
123.377    118.049   -22.688
125.171    118.000   -22.445
126.992    117.951   -22.217
128.839    117.903   -22.001
130.713    117.854   -21.799
132.615    117.799   -21.597
134.543    117.739   -21.361
136.500    117.685   -21.090
138.486    117.635   -20.815
140.500    117.587   -20.544
142.544    117.540   -20.270
144.617    117.495   -19.999
146.721    117.451   -19.737
148.855    117.406   -19.479
151.020    117.358   -19.209
153.217    117.313   -18.927
155.445    117.270   -18.649
157.706    117.225   -18.371
160.000    117.176   -18.073
162.327    117.131   -17.747
164.688    117.091   -17.415
167.084    117.052   -17.082
169.514    117.018   -16.752
171.980    116.985   -16.441
174.481    116.946   -16.127
177.019    116.910   -15.796
179.594    116.874   -15.448
182.206    116.844   -15.086
184.856    116.823   -14.752
187.545    116.798   -14.457
190.273    116.765   -14.161
193.041    116.730   -13.835
195.849    116.694   -13.465
198.697    116.664   -13.054
201.587    116.648   -12.638
204.520    116.641   -12.263
207.494    116.638   -11.949
210.512    116.632   -11.694
213.574    116.617   -11.477
216.681    116.588   -11.252
219.833    116.552   -10.975
223.030    116.516   -10.636
226.274    116.484   -10.237
229.565    116.463    -9.801
232.905    116.455    -9.375
236.292    116.452    -8.982
239.729    116.452    -8.621
243.216    116.452    -8.287
246.754    116.452    -7.971
250.343    116.452    -7.670
253.984    116.452    -7.381
257.678    116.452    -7.104
261.426    116.452    -6.837
265.229    116.452    -6.580
269.087    116.452    -6.335
273.001    116.452    -6.102
276.972    116.452    -5.884
281.000    116.452    -5.688
285.088    116.449    -5.520
289.234    116.441    -5.380
293.441    116.423    -5.246
297.709    116.391    -5.074
