Freq[Hz]     dBSPL  Phase[Deg]
5.00000     71.101   -17.306
5.07273     71.091   -17.312
5.14651     71.077   -17.319
5.22137     71.058   -17.329
5.29732     71.038   -17.341
5.37437     71.015   -17.356
5.45254     70.992   -17.371
5.53185     70.970   -17.386
5.61231     70.947   -17.402
5.69394     70.924   -17.418
5.77676     70.902   -17.434
5.86079     70.879   -17.450
5.94604     70.856   -17.467
6.03252     70.834   -17.484
6.12027     70.811   -17.501
6.20929     70.788   -17.519
6.29961     70.765   -17.537
6.39124     70.743   -17.555
6.48420     70.720   -17.574
6.57851     70.697   -17.592
6.67420     70.675   -17.611
6.77128     70.652   -17.631
6.86977     70.629   -17.650
6.96969     70.607   -17.670
7.07107     70.584   -17.690
7.17392     70.561   -17.711
7.27827     70.538   -17.732
7.38413     70.516   -17.753
7.49154     70.493   -17.775
7.60050     70.470   -17.797
7.71105     70.448   -17.819
7.82321     70.425   -17.842
7.93701     70.402   -17.864
8.05245     70.380   -17.888
8.16958     70.357   -17.911
8.28841     70.334   -17.935
8.40896     70.311   -17.960
8.53128     70.289   -17.985
8.65537     70.266   -18.010
8.78126     70.243   -18.035
8.90899     70.221   -18.061
9.03857     70.198   -18.088
9.17004     70.175   -18.115
9.30342     70.153   -18.142
9.43874     70.130   -18.170
9.57603     70.107   -18.198
9.71532     70.084   -18.226
9.85663     70.062   -18.255
10.0000     70.039   -18.285
10.1455     70.016   -18.315
10.2930     69.994   -18.345
10.4427     69.971   -18.376
10.5946     69.948   -18.407
10.7487     69.926   -18.439
10.9051     69.903   -18.472
11.0637     69.880   -18.505
11.2246     69.857   -18.538
11.3879     69.835   -18.572
11.5535     69.812   -18.607
11.7216     69.789   -18.642
11.8921     69.767   -18.678
12.0650     69.744   -18.714
12.2405     69.721   -18.751
12.4186     69.698   -18.788
12.5992     69.676   -18.826
12.7825     69.653   -18.865
12.9684     69.630   -18.905
13.1570     69.608   -18.945
13.3484     69.585   -18.985
13.5426     69.562   -19.027
13.7395     69.540   -19.069
13.9394     69.517   -19.112
14.1421     69.494   -19.155
14.3478     69.471   -19.200
14.5565     69.449   -19.245
14.7683     69.426   -19.291
14.9831     69.403   -19.338
15.2010     69.381   -19.385
15.4221     69.358   -19.434
15.6464     69.335   -19.484
15.8740     69.313   -19.534
16.1049     69.290   -19.585
16.3392     69.267   -19.638
16.5768     69.244   -19.691
16.8179     69.222   -19.745
17.0626     69.199   -19.800
17.3107     69.176   -19.857
17.5625     69.154   -19.914
17.8180     69.131   -19.972
18.0771     69.108   -20.032
18.3401     69.086   -20.093
18.6068     69.063   -20.155
18.8775     69.040   -20.218
19.1521     69.017   -20.282
19.4306     68.995   -20.348
19.7133     68.972   -20.415
20.0000     68.949   -20.483
20.2909     68.927   -20.553
20.5860     68.904   -20.624
20.8855     68.881   -20.697
21.1893     68.859   -20.772
21.4975     68.836   -20.848
21.8102     68.813   -20.926
22.1274     68.790   -21.006
22.4492     68.768   -21.087
22.7758     68.745   -21.171
23.1071     68.722   -21.257
23.4432     68.700   -21.345
23.7841     68.677   -21.435
24.1301     68.654   -21.527
24.4811     68.632   -21.622
24.8372     68.609   -21.720
25.1984     68.586   -21.821
25.5649     68.563   -21.924
25.9368     68.541   -22.031
26.3141     68.518   -22.142
26.6968     68.495   -22.257
27.0851     68.473   -22.376
27.4791     68.450   -22.499
27.8788     68.427   -22.629
28.2843     68.405   -22.764
28.6957     68.382   -22.908
29.1131     68.359   -23.062
29.5365     68.336   -23.228
29.9661     68.311   -23.408
30.4020     68.283   -23.599
30.8442     68.253   -23.795
31.2929     68.219   -23.988
31.7480     68.182   -24.175
32.2098     68.144   -24.349
32.6783     68.105   -24.512
33.1536     68.065   -24.666
33.6359     68.026   -24.813
34.1251     67.986   -24.955
34.6215     67.947   -25.093
35.1250     67.907   -25.228
35.6359     67.868   -25.360
36.1543     67.828   -25.491
36.6802     67.789   -25.619
37.2137     67.750   -25.746
37.7550     67.710   -25.872
38.3041     67.671   -25.997
38.8613     67.631   -26.122
39.4265     67.592   -26.246
40.0000     67.552   -26.371
40.5818     67.513   -26.496
41.1721     67.474   -26.622
41.7710     67.434   -26.748
42.3785     67.395   -26.876
42.9949     67.355   -27.006
43.6203     67.316   -27.138
44.2548     67.276   -27.272
44.8985     67.237   -27.410
45.5515     67.198   -27.551
46.2141     67.158   -27.696
46.8863     67.119   -27.847
47.5683     67.079   -28.005
48.2602     67.040   -28.171
48.9621     67.000   -28.349
49.6743     66.960   -28.543
50.3968     66.919   -28.757
51.1299     66.874   -28.991
51.8736     66.824   -29.235
52.6281     66.769   -29.480
53.3936     66.708   -29.714
54.1702     66.642   -29.925
54.9581     66.574   -30.112
55.7575     66.505   -30.276
56.5685     66.437   -30.421
57.3914     66.368   -30.552
58.2261     66.299   -30.670
59.0730     66.230   -30.778
59.9323     66.161   -30.875
60.8040     66.092   -30.964
61.6884     66.024   -31.044
62.5857     65.955   -31.116
63.4960     65.886   -31.181
64.4196     65.817   -31.238
65.3566     65.748   -31.289
66.3073     65.679   -31.333
67.2717     65.611   -31.371
68.2502     65.542   -31.402
69.2429     65.473   -31.428
70.2501     65.404   -31.448
71.2719     65.335   -31.462
72.3086     65.266   -31.470
73.3603     65.197   -31.473
74.4274     65.129   -31.470
75.5099     65.060   -31.462
76.6083     64.991   -31.448
77.7226     64.922   -31.429
78.8531     64.853   -31.405
80.0000     64.784   -31.376
81.1636     64.716   -31.341
82.3442     64.647   -31.301
83.5419     64.578   -31.256
84.7570     64.509   -31.205
85.9899     64.440   -31.150
87.2406     64.371   -31.088
88.5096     64.303   -31.022
89.7970     64.234   -30.950
91.1031     64.165   -30.873
92.4282     64.096   -30.790
93.7726     64.027   -30.702
95.1366     63.958   -30.608
96.5204     63.889   -30.508
97.9243     63.821   -30.403
99.3486     63.752   -30.292
100.794     63.683   -30.174
102.260     63.614   -30.051
103.747     63.545   -29.921
105.256     63.476   -29.784
106.787     63.408   -29.641
108.340     63.339   -29.491
109.916     63.270   -29.334
111.515     63.201   -29.170
113.137     63.132   -28.998
114.783     63.063   -28.818
116.452     62.995   -28.630
118.146     62.926   -28.433
119.865     62.857   -28.226
121.608     62.788   -28.010
123.377     62.719   -27.783
125.171     62.650   -27.545
126.992     62.581   -27.294
128.839     62.513   -27.030
130.713     62.444   -26.749
132.615     62.375   -26.451
134.543     62.306   -26.131
136.500     62.238   -25.782
138.486     62.171   -25.399
140.500     62.108   -24.981
142.544     62.053   -24.536
144.617     62.006   -24.079
146.721     61.967   -23.628
148.855     61.935   -23.198
151.020     61.907   -22.799
153.217     61.882   -22.428
155.445     61.856   -22.079
157.706     61.831   -21.747
160.000     61.806   -21.428
162.327     61.781   -21.118
164.688     61.755   -20.816
167.084     61.730   -20.521
169.514     61.705   -20.231
171.980     61.679   -19.944
174.481     61.654   -19.661
177.019     61.629   -19.380
179.594     61.604   -19.101
182.206     61.578   -18.821
184.856     61.553   -18.541
187.545     61.528   -18.259
190.273     61.503   -17.972
193.041     61.478   -17.678
195.849     61.454   -17.375
198.697     61.432   -17.063
201.587     61.413   -16.747
204.520     61.397   -16.434
207.494     61.385   -16.129
210.512     61.374   -15.839
213.574     61.364   -15.563
216.681     61.355   -15.300
219.833     61.346   -15.048
223.030     61.337   -14.803
226.274     61.328   -14.566
229.565     61.319   -14.335
232.905     61.310   -14.109
236.292     61.301   -13.889
239.729     61.291   -13.672
243.216     61.282   -13.461
246.754     61.273   -13.253
250.343     61.264   -13.048
253.984     61.255   -12.847
257.678     61.246   -12.649
261.426     61.237   -12.454
265.229     61.227   -12.262
269.087     61.218   -12.072
273.001     61.209   -11.885
276.972     61.200   -11.700
281.000     61.191   -11.517
285.088     61.182   -11.337
289.234     61.173   -11.158
293.441     61.164   -10.981
297.709     61.154   -10.806
302.040     61.145   -10.632
306.433     61.136   -10.460
