* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of Mar 1, Mar 1, Mar 1, Mar 1, Mar 1
* Dated: Mar 1, 2023 8:36:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: RMS Average 1
* Smoothing: None
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB)
20.000000 78.959
20.600000 79.121
21.200001 79.212
21.799999 79.340
22.400000 79.515
23.000000 79.641
23.600000 79.717
24.299999 79.816
25.000000 79.910
25.799999 79.920
26.500000 79.921
27.200001 79.948
28.000000 79.918
29.000000 79.846
30.000000 79.843
30.700001 79.824
31.500000 79.821
32.500000 79.861
33.500000 79.925
34.500000 79.986
35.500000 79.981
36.500000 79.954
37.500000 79.948
38.700001 80.010
40.000000 80.213
41.200001 80.477
42.500000 80.787
43.700001 81.077
45.000000 81.340
46.200001 81.568
47.500000 81.782
48.700001 82.009
50.000000 82.305
51.500000 82.503
53.000000 82.754
54.500000 83.017
56.000000 83.219
58.000000 83.463
60.000000 83.679
61.500000 83.800
63.000000 83.856
65.000000 83.850
67.000000 83.779
69.000000 83.761
71.000000 83.786
73.000000 83.872
75.000000 83.995
77.500000 84.108
80.000000 84.208
82.500000 84.301
85.000000 84.373
87.500000 84.414
90.000000 84.427
92.500000 84.415
95.000000 84.368
97.500000 84.309
100.000000 84.226
103.000000 84.142
106.000000 84.008
109.000000 83.823
112.000000 83.648
115.000000 83.573
118.000000 83.565
122.000000 83.557
125.000000 83.547
128.000000 83.510
132.000000 83.422
136.000000 83.312
140.000000 83.199
145.000000 83.041
150.000000 82.848
155.000000 82.717
160.000000 82.551
165.000000 82.352
170.000000 82.143
175.000000 82.136
180.000000 81.975
185.000000 81.774
190.000000 81.674
195.000000 81.629
200.000000 81.579
206.000000 81.571
212.000000 81.581
218.000000 81.528
224.000000 81.459
230.000000 81.386
236.000000 81.330
243.000000 81.279
250.000000 81.243
258.000000 81.217
265.000000 81.187
272.000000 81.178
280.000000 81.180
290.000000 81.248
300.000000 81.425
307.000000 81.654
315.000000 81.954
325.000000 82.413
335.000000 82.855
345.000000 83.245
355.000000 83.586
365.000000 83.857
375.000000 84.033
387.000000 84.145
400.000000 84.216
412.000000 84.326
425.000000 84.472
437.000000 84.612
450.000000 84.760
462.000000 84.922
475.000000 85.099
487.000000 85.260
500.000000 85.376
515.000000 85.499
530.000000 85.552
545.000000 85.598
560.000000 85.604
580.000000 85.625
600.000000 85.656
615.000000 85.667
630.000000 85.686
650.000000 85.676
670.000000 85.684
690.000000 85.687
710.000000 85.702
730.000000 85.723
750.000000 85.746
775.000000 85.779
800.000000 85.854
825.000000 85.927
850.000000 85.967
875.000000 86.004
900.000000 86.032
925.000000 86.037
950.000000 86.028
975.000000 86.029
1000.000000 86.075
1030.000000 86.163
1060.000000 86.254
1090.000000 86.284
1120.000000 86.317
1150.000000 86.378
1180.000000 86.445
1220.000000 86.526
1250.000000 86.577
1280.000000 86.810
1320.000000 87.219
1360.000000 87.277
1400.000000 87.201
1450.000000 87.421
1500.000000 87.910
1550.000000 88.423
1600.000000 88.903
1650.000000 89.306
1700.000000 89.651
1750.000000 89.908
1800.000000 90.115
1850.000000 90.177
1900.000000 90.039
1950.000000 89.736
2000.000000 89.472
2060.000000 89.682
2120.000000 90.358
2180.000000 91.117
2240.000000 91.758
2300.000000 92.158
2360.000000 92.352
2430.000000 92.449
2500.000000 92.549
2580.000000 92.576
2650.000000 92.532
2720.000000 92.449
2800.000000 92.448
2900.000000 92.279
3000.000000 91.128
3070.000000 90.230
3150.000000 88.950
3250.000000 82.514
3350.000000 80.785
3450.000000 88.767
3550.000000 88.128
3650.000000 85.987
3750.000000 84.135
3870.000000 82.478
4000.000000 81.504
4120.000000 80.504
4250.000000 78.208
4370.000000 77.375
4500.000000 80.463
4620.000000 82.139
4750.000000 82.217
4870.000000 82.164
5000.000000 82.007
5150.000000 82.037
5300.000000 82.668
5450.000000 83.011
5600.000000 84.206
5800.000000 85.662
6000.000000 87.423
6150.000000 87.120
6300.000000 85.720
6500.000000 84.602
6700.000000 84.749
6900.000000 85.482
7100.000000 85.235
7300.000000 83.949
7500.000000 82.499
7750.000000 82.731
8000.000000 85.084
8250.000000 88.608
8500.000000 87.026
8750.000000 83.273
9000.000000 79.250
9250.000000 78.848
9500.000000 79.452
9750.000000 76.008
10000.000000 68.517
10300.000000 69.931
10600.000000 73.490
10900.000000 77.291
11200.000000 80.763
11500.000000 80.736
11800.000000 81.296
12200.000000 80.813
12500.000000 84.035
12800.000000 84.470
13200.000000 82.939
13600.000000 81.145
14000.000000 79.928
14500.000000 82.522
15000.000000 81.972
15500.000000 79.479
16000.000000 78.632
16500.000000 83.084
17000.000000 78.197
17500.000000 71.730
18000.000000 75.826
18500.000000 78.718
19000.000000 76.636
19500.000000 76.364
