* Measurement data measured by REW V5.20.4
* Source: C:\Users\bryan\Music\REW\Measurements\text\wrong\Crinacle IEF-Neutral Target.txt
* Format: Comma/Tab/Space delimited data
* Dated: Oct 21, 2021 1:57:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\bryan\Music\REW\Measurements\text\wrong\Crinacle IEF-Neutral Target.txt Format: Comma/Tab/Space delimited data 243 values loaded, 20 Hz to 20,040 Hz log spaced 
* Measurement: Crinacle IEF-Neutral Target
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	84.388
20.299999	84.388
20.600000	84.388
20.900000	84.388
21.200001	84.388
21.400000	84.388
21.799999	84.388
22.000000	84.388
22.400000	84.388
22.700001	84.388
23.000000	84.388
23.299999	84.388
23.600000	84.388
24.000000	84.388
24.299999	84.388
24.700001	84.388
25.000000	84.388
25.400000	84.388
25.799999	84.388
26.200001	84.388
26.500000	84.388
26.900000	84.388
27.200001	84.388
27.600000	84.388
28.000000	84.388
28.500000	84.388
29.000000	84.388
29.500000	84.388
30.000000	84.388
30.400000	84.388
30.700001	84.388
31.100000	84.388
31.500000	84.388
32.000000	84.388
32.500000	84.388
33.000000	84.388
33.500000	84.388
34.000000	84.388
34.500000	84.388
35.000000	84.388
35.500000	84.388
36.000000	84.388
36.500000	84.388
37.000000	84.388
37.500000	84.388
38.200001	84.388
38.700001	84.388
39.500000	84.388
40.000000	84.388
40.599998	84.388
41.200001	84.388
41.799999	84.388
42.500000	84.388
43.099998	84.388
43.700001	84.388
44.400002	84.388
45.000000	84.388
45.500000	84.388
46.200001	84.388
46.799999	84.388
47.500000	84.388
48.200001	84.388
48.700001	84.388
49.400002	84.388
50.000000	84.388
50.799999	84.388
51.500000	84.388
52.200001	84.388
53.000000	84.388
53.799999	84.388
54.500000	84.388
55.200001	84.388
56.000000	84.388
57.000000	84.388
58.000000	84.388
59.000000	84.388
60.000000	84.388
60.799999	84.388
61.500000	84.388
62.200001	84.388
63.000000	84.388
64.000000	84.388
65.000000	84.388
66.000000	84.388
67.000000	84.388
68.000000	84.388
69.000000	84.388
70.000000	84.388
71.000000	84.388
72.000000	84.388
73.000000	84.388
74.000000	84.388
75.000000	84.388
76.199997	84.388
77.500000	84.386
78.800003	84.385
80.000000	84.387
81.199997	84.388
82.500000	84.388
83.800003	84.388
85.000000	84.388
86.199997	84.388
87.500000	84.388
88.500000	84.388
90.000000	84.388
91.199997	84.388
92.500000	84.388
93.800003	84.388
95.000000	84.388
96.199997	84.388
