* Measurement data measured by REW V5.20.4
* Source: Trace Arithmetic result Merge B to A
* Format: Trace Arithmetic result Merge B to A
* Dated: 15-Jun-2022 20:53:30
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic B to A at 1,000 Hz A = A times B B = Pleather Bluetooth R VSG B was scaled by 0.4 dB
* Measurement: Pleather BT R VSG to Crin
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	71.901
20.299999	71.946
20.600000	71.997
20.900000	72.049
21.200001	72.098
21.400000	72.128
21.799999	72.181
22.000000	72.205
22.400000	72.248
22.700001	72.279
23.000000	72.310
23.299999	72.341
23.600000	72.372
24.000000	72.413
24.299999	72.442
24.700001	72.477
25.000000	72.500
25.400000	72.525
25.799999	72.545
26.200001	72.561
26.500000	72.572
26.900000	72.586
27.200001	72.598
27.600000	72.614
28.000000	72.634
28.500000	72.662
29.000000	72.694
29.500000	72.726
30.000000	72.757
30.400000	72.779
30.700001	72.794
31.100000	72.809
31.500000	72.822
32.000000	72.833
32.500000	72.841
33.000000	72.847
33.500000	72.851
34.000000	72.853
34.500000	72.852
35.000000	72.849
35.500000	72.843
36.000000	72.836
36.500000	72.828
37.000000	72.820
37.500000	72.811
38.200001	72.797
38.700001	72.787
39.500000	72.772
40.000000	72.763
40.599998	72.752
41.200001	72.739
41.799999	72.725
42.500000	72.706
43.099998	72.687
43.700001	72.668
44.400002	72.646
45.000000	72.629
45.500000	72.617
46.200001	72.602
46.799999	72.592
47.500000	72.584
48.200001	72.578
48.700001	72.576
49.400002	72.575
50.000000	72.576
50.799999	72.580
51.500000	72.586
52.200001	72.595
53.000000	72.608
53.799999	72.626
54.500000	72.644
55.200001	72.664
56.000000	72.691
57.000000	72.728
58.000000	72.767
59.000000	72.806
60.000000	72.842
60.799999	72.870
61.500000	72.893
62.200001	72.915
63.000000	72.940
64.000000	72.968
65.000000	72.994
66.000000	73.016
67.000000	73.036
68.000000	73.053
69.000000	73.067
70.000000	73.077
71.000000	73.084
72.000000	73.088
73.000000	73.088
74.000000	73.085
75.000000	73.080
76.199997	73.071
77.500000	73.060
78.800003	73.047
80.000000	73.035
81.199997	73.021
82.500000	73.005
83.800003	72.987
85.000000	72.968
86.199997	72.948
87.500000	72.924
88.500000	72.904
90.000000	72.871
91.199997	72.843
92.500000	72.811
93.800003	72.779
95.000000	72.748
96.199997	72.719
97.500000	72.687
98.800003	72.657
100.000000	72.630
101.500000	72.597
103.000000	72.564
104.400002	72.532
106.000000	72.496
107.500000	72.461
109.000000	72.426
110.599998	72.388
112.000000	72.354
113.800003	72.310
115.000000	72.280
117.199997	72.227
118.000000	72.209
120.599998	72.149
122.000000	72.117
124.099998	72.070
125.000000	72.050
126.500000	72.016
128.000000	71.981
131.500000	71.898
132.000000	71.886
134.000000	71.837
136.000000	71.787
138.000000	71.736
140.000000	71.684
143.000000	71.605
145.000000	71.554
147.500000	71.495
150.000000	71.442
152.500000	71.395
155.000000	71.352
157.500000	71.310
160.000000	71.268
162.500000	71.225
165.000000	71.181
167.500000	71.135
170.000000	71.088
172.500000	71.037
175.000000	70.985
177.500000	70.930
180.000000	70.874
182.500000	70.817
185.000000	70.759
187.500000	70.702
190.000000	70.646
192.500000	70.591
195.000000	70.537
197.500000	70.486
200.000000	70.437
203.000000	70.382
206.000000	70.332
209.000000	70.287
212.000000	70.249
214.000000	70.226
218.000000	70.190
220.000000	70.177
224.000000	70.158
227.000000	70.151
230.000000	70.149
233.000000	70.153
236.000000	70.161
240.000000	70.178
243.000000	70.194
247.000000	70.217
250.000000	70.235
254.000000	70.259
258.000000	70.280
262.000000	70.296
265.000000	70.304
269.000000	70.308
272.000000	70.306
276.000000	70.295
280.000000	70.275
285.000000	70.238
290.000000	70.187
295.000000	70.124
300.000000	70.050
304.000000	69.984
307.000000	69.931
311.000000	69.857
315.000000	69.781
320.000000	69.682
325.000000	69.582
330.000000	69.480
335.000000	69.378
340.000000	69.277
345.000000	69.179
350.000000	69.083
355.000000	68.992
360.000000	68.907
365.000000	68.827
370.000000	68.754
375.000000	68.689
382.000000	68.611
387.000000	68.565
395.000000	68.508
400.000000	68.482
406.000000	68.459
412.000000	68.446
418.000000	68.442
425.000000	68.448
431.000000	68.461
437.000000	68.480
444.000000	68.508
450.000000	68.536
455.000000	68.561
462.000000	68.598
468.000000	68.632
475.000000	68.672
482.000000	68.710
487.000000	68.733
494.000000	68.761
500.000000	68.777
508.000000	68.789
515.000000	68.791
522.000000	68.786
530.000000	68.774
538.000000	68.757
545.000000	68.740
552.000000	68.724
560.000000	68.707
570.000000	68.692
580.000000	68.687
590.000000	68.697
600.000000	68.726
608.000000	68.764
615.000000	68.809
622.000000	68.864
630.000000	68.939
640.000000	69.045
650.000000	69.159
660.000000	69.276
670.000000	69.392
680.000000	69.504
690.000000	69.611
700.000000	69.713
710.000000	69.811
720.000000	69.905
730.000000	69.994
740.000000	70.079
750.000000	70.159
762.000000	70.247
775.000000	70.328
788.000000	70.390
800.000000	70.423
812.000000	70.434
825.000000	70.421
838.000000	70.393
850.000000	70.362
862.000000	70.332
875.000000	70.301
885.000000	70.275
900.000000	70.225
912.000000	70.175
925.000000	70.118
938.000000	70.071
950.000000	70.047
962.000000	70.046
975.000000	70.070
988.000000	70.112
1000.000000	70.161
1015.000000	70.235
1030.000000	70.330
1044.000000	70.448
1060.000000	70.617
1075.000000	70.792
1090.000000	70.966
1106.000000	71.132
1120.000000	71.241
1138.000000	71.312
1150.000000	71.318
1172.000000	71.274
1180.000000	71.244
1206.000000	71.115
1220.000000	71.063
1241.000000	71.065
1250.000000	71.089
1265.000000	71.134
1280.000000	71.177
1315.000000	71.303
1320.000000	71.325
1340.000000	71.403
1360.000000	71.438
1380.000000	71.418
1400.000000	71.370
1430.000000	71.325
1450.000000	71.348
1475.000000	71.443
1500.000000	71.601
1525.000000	71.875
1550.000000	72.330
1575.000000	72.892
1600.000000	73.361
1625.000000	73.564
1650.000000	73.489
1675.000000	73.306
1700.000000	73.230
1725.000000	73.314
1750.000000	73.440
1775.000000	73.490
1800.000000	73.442
