* Measurement data measured by REW V5.20.4
* Source: Trace Arithmetic result Merge B to A
* Format: Trace Arithmetic result Merge B to A
* Dated: 30-Mar-2022 22:22:50
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic B to A at 1,000 Hz A = LCD-5 L VSG to Crin new HB B = LCD-5 L VSG new HB B was scaled by 111.3 dB
* Measurement: LCD-5 L VSG to Crin new HB
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	72.473
20.299999	72.490
20.600000	72.507
20.900000	72.525
21.200001	72.542
21.400000	72.553
21.799999	72.577
22.000000	72.588
22.400000	72.611
22.700001	72.628
23.000000	72.644
23.299999	72.659
23.600000	72.674
24.000000	72.691
24.299999	72.704
24.700001	72.722
25.000000	72.736
25.400000	72.758
25.799999	72.784
26.200001	72.815
26.500000	72.842
26.900000	72.881
27.200001	72.911
27.600000	72.952
28.000000	72.990
28.500000	73.032
29.000000	73.066
29.500000	73.093
30.000000	73.113
30.400000	73.126
30.700001	73.134
31.100000	73.143
31.500000	73.150
32.000000	73.157
32.500000	73.163
33.000000	73.167
33.500000	73.170
34.000000	73.172
34.500000	73.173
35.000000	73.172
35.500000	73.169
36.000000	73.163
36.500000	73.154
37.000000	73.142
37.500000	73.126
38.200001	73.097
38.700001	73.073
39.500000	73.030
40.000000	73.001
40.599998	72.965
41.200001	72.932
41.799999	72.903
42.500000	72.878
43.099998	72.865
43.700001	72.863
44.400002	72.876
45.000000	72.898
45.500000	72.925
46.200001	72.972
46.799999	73.018
47.500000	73.077
48.200001	73.138
48.700001	73.181
49.400002	73.242
50.000000	73.294
50.799999	73.365
51.500000	73.427
52.200001	73.490
53.000000	73.561
53.799999	73.629
54.500000	73.682
55.200001	73.729
56.000000	73.771
57.000000	73.810
58.000000	73.832
59.000000	73.841
60.000000	73.842
60.799999	73.838
61.500000	73.833
62.200001	73.826
63.000000	73.817
64.000000	73.807
65.000000	73.797
66.000000	73.791
67.000000	73.789
68.000000	73.792
69.000000	73.800
70.000000	73.814
71.000000	73.830
72.000000	73.848
73.000000	73.865
74.000000	73.882
75.000000	73.895
76.199997	73.908
77.500000	73.917
78.800003	73.922
80.000000	73.924
81.199997	73.923
82.500000	73.921
83.800003	73.917
85.000000	73.912
86.199997	73.907
87.500000	73.902
88.500000	73.898
90.000000	73.892
91.199997	73.887
92.500000	73.881
93.800003	73.876
95.000000	73.870
96.199997	73.865
97.500000	73.859
98.800003	73.853
100.000000	73.848
101.500000	73.842
103.000000	73.835
104.400002	73.829
106.000000	73.822
107.500000	73.816
109.000000	73.810
110.599998	73.803
112.000000	73.798
113.800003	73.791
115.000000	73.787
117.199997	73.779
118.000000	73.776
120.599998	73.766
122.000000	73.761
124.099998	73.754
125.000000	73.751
126.500000	73.746
128.000000	73.742
131.500000	73.734
132.000000	73.733
134.000000	73.730
136.000000	73.727
138.000000	73.725
140.000000	73.723
143.000000	73.720
145.000000	73.719
147.500000	73.718
150.000000	73.718
152.500000	73.718
155.000000	73.718
157.500000	73.719
160.000000	73.721
162.500000	73.723
165.000000	73.725
167.500000	73.728
170.000000	73.730
172.500000	73.734
175.000000	73.737
177.500000	73.741
180.000000	73.744
182.500000	73.746
185.000000	73.749
187.500000	73.750
190.000000	73.751
192.500000	73.752
195.000000	73.751
197.500000	73.750
200.000000	73.748
203.000000	73.745
206.000000	73.741
209.000000	73.736
212.000000	73.731
214.000000	73.727
218.000000	73.720
220.000000	73.717
224.000000	73.709
227.000000	73.704
230.000000	73.700
233.000000	73.696
236.000000	73.693
240.000000	73.691
243.000000	73.690
247.000000	73.690
250.000000	73.690
254.000000	73.691
258.000000	73.693
262.000000	73.695
265.000000	73.696
269.000000	73.698
272.000000	73.699
276.000000	73.700
280.000000	73.700
285.000000	73.701
290.000000	73.700
295.000000	73.698
300.000000	73.695
304.000000	73.691
307.000000	73.687
311.000000	73.682
315.000000	73.675
320.000000	73.665
325.000000	73.653
330.000000	73.640
335.000000	73.627
340.000000	73.613
345.000000	73.599
350.000000	73.587
355.000000	73.577
360.000000	73.569
365.000000	73.564
370.000000	73.561
375.000000	73.562
382.000000	73.567
387.000000	73.575
395.000000	73.592
400.000000	73.605
406.000000	73.624
412.000000	73.644
418.000000	73.667
425.000000	73.695
431.000000	73.720
437.000000	73.747
444.000000	73.779
450.000000	73.807
455.000000	73.832
462.000000	73.866
468.000000	73.896
475.000000	73.931
482.000000	73.966
487.000000	73.991
494.000000	74.025
500.000000	74.054
508.000000	74.092
515.000000	74.125
522.000000	74.157
530.000000	74.193
538.000000	74.228
545.000000	74.258
552.000000	74.288
560.000000	74.321
570.000000	74.362
580.000000	74.402
590.000000	74.440
600.000000	74.478
608.000000	74.507
615.000000	74.533
622.000000	74.559
630.000000	74.588
640.000000	74.625
650.000000	74.662
660.000000	74.698
670.000000	74.735
680.000000	74.771
690.000000	74.808
700.000000	74.845
710.000000	74.882
720.000000	74.918
730.000000	74.954
740.000000	74.988
750.000000	75.020
762.000000	75.056
775.000000	75.091
788.000000	75.126
800.000000	75.162
812.000000	75.204
825.000000	75.260
838.000000	75.326
850.000000	75.395
862.000000	75.470
875.000000	75.555
885.000000	75.622
900.000000	75.724
912.000000	75.806
925.000000	75.895
938.000000	75.983
950.000000	76.064
962.000000	76.144
975.000000	76.228
988.000000	76.309
1000.000000	76.384
1015.000000	76.488
1030.000000	76.616
1044.000000	76.766
1060.000000	76.969
1075.000000	77.173
