* Measurement data measured by REW V5.20.4
* Source: Trace Arithmetic result Merge B to A
* Format: Trace Arithmetic result Merge B to A
* Dated: 21-Nov-2022 22:25:58
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Void L VSG to Crin new
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	72.059
20.299999	72.168
20.600000	72.277
20.900000	72.388
21.200001	72.500
21.400000	72.574
21.799999	72.721
22.000000	72.793
22.400000	72.929
22.700001	73.026
23.000000	73.117
23.299999	73.203
23.600000	73.286
24.000000	73.393
24.299999	73.470
24.700001	73.570
25.000000	73.643
25.400000	73.736
25.799999	73.826
26.200001	73.911
26.500000	73.974
26.900000	74.054
27.200001	74.113
27.600000	74.190
28.000000	74.266
28.500000	74.359
29.000000	74.452
29.500000	74.545
30.000000	74.639
30.400000	74.713
30.700001	74.768
31.100000	74.840
31.500000	74.910
32.000000	74.992
32.500000	75.070
33.000000	75.141
33.500000	75.207
34.000000	75.267
34.500000	75.325
35.000000	75.379
35.500000	75.431
36.000000	75.481
36.500000	75.529
37.000000	75.576
37.500000	75.621
38.200001	75.680
38.700001	75.721
39.500000	75.782
40.000000	75.817
40.599998	75.857
41.200001	75.893
41.799999	75.926
42.500000	75.960
43.099998	75.988
43.700001	76.015
44.400002	76.049
45.000000	76.081
45.500000	76.110
46.200001	76.156
46.799999	76.198
47.500000	76.249
48.200001	76.301
48.700001	76.336
49.400002	76.384
50.000000	76.419
50.799999	76.459
51.500000	76.484
52.200001	76.501
53.000000	76.509
53.799999	76.507
54.500000	76.497
55.200001	76.482
56.000000	76.460
57.000000	76.429
58.000000	76.397
59.000000	76.371
60.000000	76.355
60.799999	76.352
61.500000	76.358
62.200001	76.370
63.000000	76.391
64.000000	76.425
65.000000	76.463
66.000000	76.502
67.000000	76.537
68.000000	76.568
69.000000	76.595
70.000000	76.618
71.000000	76.638
72.000000	76.656
73.000000	76.673
74.000000	76.688
75.000000	76.703
76.199997	76.720
77.500000	76.737
78.800003	76.752
80.000000	76.765
81.199997	76.777
82.500000	76.789
83.800003	76.803
85.000000	76.816
86.199997	76.833
87.500000	76.853
88.500000	76.871
90.000000	76.900
91.199997	76.926
92.500000	76.956
93.800003	76.986
95.000000	77.014
96.199997	77.040
97.500000	77.067
98.800003	77.091
100.000000	77.111
101.500000	77.134
103.000000	77.153
104.400002	77.168
106.000000	77.182
107.500000	77.192
109.000000	77.200
110.599998	77.206
112.000000	77.210
113.800003	77.213
115.000000	77.213
117.199997	77.212
118.000000	77.211
120.599998	77.204
122.000000	77.200
124.099998	77.191
125.000000	77.186
126.500000	77.178
128.000000	77.169
131.500000	77.143
132.000000	77.139
134.000000	77.121
136.000000	77.101
138.000000	77.080
140.000000	77.057
143.000000	77.021
145.000000	76.996
147.500000	76.963
150.000000	76.931
152.500000	76.901
155.000000	76.873
157.500000	76.847
160.000000	76.824
162.500000	76.803
165.000000	76.783
167.500000	76.764
170.000000	76.746
172.500000	76.729
175.000000	76.711
177.500000	76.693
180.000000	76.674
182.500000	76.654
185.000000	76.632
187.500000	76.609
190.000000	76.584
192.500000	76.558
195.000000	76.531
197.500000	76.504
200.000000	76.479
203.000000	76.451
206.000000	76.427
209.000000	76.406
212.000000	76.388
214.000000	76.376
218.000000	76.350
220.000000	76.337
224.000000	76.307
227.000000	76.282
230.000000	76.256
233.000000	76.229
236.000000	76.204
240.000000	76.172
243.000000	76.152
