Frequency	dB	Unweighted
19.4	9.6	
19.7	9.6	
20.0	9.6	
20.3	9.6	
20.6	9.6	
20.9	9.6	
21.2	9.6	
21.5	9.6	
21.8	9.6	
22.1	9.6	
22.4	9.6	
22.8	9.6	
23.1	9.6	
23.4	9.6	
23.8	9.6	
24.1	9.6	
24.5	9.6	
24.8	9.6	
25.2	9.6	
25.6	9.6	
25.9	9.6	
26.3	9.6	
26.7	9.6	
27.1	9.6	
27.5	9.6	
27.9	9.6	
28.3	9.6	
28.7	9.6	
29.1	9.6	
29.5	9.6	
30.0	9.6	
30.4	9.6	
30.8	9.6	
31.3	9.6	
31.7	9.6	
32.2	9.6	
32.7	9.6	
33.2	9.6	
33.6	9.6	
34.1	9.6	
34.6	9.6	
35.1	9.6	
35.6	9.5	
36.2	9.5	
36.7	9.5	
37.2	9.5	
37.8	9.5	
38.3	9.5	
38.9	9.5	
39.4	9.5	
40.0	9.4	
40.6	9.4	
41.2	9.3	
41.8	9.3	
42.4	9.2	
43.0	9.2	
43.6	9.1	
44.3	9.1	
44.9	9.0	
45.6	9.0	
46.2	8.9	
46.9	8.9	
47.6	8.8	
48.3	8.7	
49.0	8.7	
49.7	8.6	
50.4	8.6	
51.1	8.5	
51.9	8.5	
52.6	8.4	
53.4	8.3	
54.2	8.3	
55.0	8.2	
55.8	8.2	
56.6	8.1	
57.4	8.0	
58.2	7.9	
59.1	7.9	
59.9	7.8	
60.8	7.7	
61.7	7.6	
62.6	7.5	
63.5	7.5	
64.4	7.4	
65.4	7.3	
66.3	7.2	
67.3	7.1	
68.3	7.0	
69.2	6.9	
70.3	6.8	
71.3	6.8	
72.3	6.7	
73.4	6.6	
74.4	6.5	
75.5	6.4	
76.6	6.3	
77.7	6.2	
78.9	6.1	
80.0	6.0	
81.2	5.9	
82.3	5.8	
83.5	5.8	
84.8	5.7	
86.0	5.6	
87.2	5.5	
88.5	5.4	
89.8	5.3	
91.1	5.3	
92.4	5.2	
93.8	5.1	
95.1	5.0	
96.5	5.0	
97.9	4.9	
99.3	4.8	
100.8	4.7	
102.3	4.6	
103.7	4.5	
105.3	4.4	
106.8	4.3	
108.3	4.2	
109.9	4.1	
111.5	4.0	
113.1	3.9	
114.8	3.8	
116.5	3.8	
118.1	3.7	
119.9	3.6	
121.6	3.5	
123.4	3.4	
125.2	3.3	
127.0	3.2	
128.8	3.1	
130.7	3.0	
132.6	3.0	
134.5	2.9	
136.5	2.8	
138.5	2.7	
140.5	2.6	
142.5	2.6	
