* Measurement data measured by REW V5.20.4
* Source: Trace Arithmetic result Merge B to A
* Format: Trace Arithmetic result Merge B to A
* Dated: 17-Feb-2023 11:36:35
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: WH950NB BT L VSG to Crin
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	77.838
20.299999	77.958
20.600000	78.064
20.900000	78.158
21.200001	78.241
21.400000	78.291
21.799999	78.382
22.000000	78.424
22.400000	78.506
22.700001	78.572
23.000000	78.644
23.299999	78.723
23.600000	78.809
24.000000	78.931
24.299999	79.024
24.700001	79.147
25.000000	79.236
25.400000	79.354
25.799999	79.471
26.200001	79.591
26.500000	79.684
26.900000	79.810
27.200001	79.907
27.600000	80.038
28.000000	80.169
28.500000	80.329
29.000000	80.484
29.500000	80.630
30.000000	80.769
30.400000	80.877
30.700001	80.957
31.100000	81.064
31.500000	81.172
32.000000	81.308
32.500000	81.444
33.000000	81.580
33.500000	81.714
34.000000	81.846
34.500000	81.972
35.000000	82.089
35.500000	82.194
36.000000	82.285
36.500000	82.361
37.000000	82.424
37.500000	82.472
38.200001	82.517
38.700001	82.531
39.500000	82.520
40.000000	82.491
40.599998	82.435
41.200001	82.357
41.799999	82.260
42.500000	82.128
43.099998	82.002
43.700001	81.866
44.400002	81.699
45.000000	81.549
45.500000	81.421
46.200001	81.238
46.799999	81.081
47.500000	80.897
48.200001	80.713
48.700001	80.583
49.400002	80.401
50.000000	80.246
50.799999	80.043
51.500000	79.870
52.200001	79.703
53.000000	79.519
53.799999	79.342
54.500000	79.194
55.200001	79.054
56.000000	78.903
57.000000	78.732
58.000000	78.583
59.000000	78.456
60.000000	78.351
60.799999	78.282
61.500000	78.233
62.200001	78.193
63.000000	78.159
64.000000	78.131
65.000000	78.118
66.000000	78.120
67.000000	78.133
68.000000	78.158
69.000000	78.190
70.000000	78.228
71.000000	78.271
72.000000	78.317
73.000000	78.364
74.000000	78.411
75.000000	78.457
76.199997	78.509
77.500000	78.559
78.800003	78.601
80.000000	78.632
81.199997	78.654
82.500000	78.669
83.800003	78.674
85.000000	78.670
86.199997	78.659
87.500000	78.640
88.500000	78.621
90.000000	78.588
91.199997	78.558
92.500000	78.523
93.800003	78.485
95.000000	78.448
96.199997	78.409
97.500000	78.364
98.800003	78.316
100.000000	78.269
101.500000	78.205
103.000000	78.137
104.400002	78.069
106.000000	77.988
107.500000	77.908
109.000000	77.825
110.599998	77.734
112.000000	77.652
113.800003	77.546
115.000000	77.475
117.199997	77.345
118.000000	77.299
120.599998	77.153
122.000000	77.078
124.099998	76.970
125.000000	76.926
126.500000	76.853
128.000000	76.783
131.500000	76.626
132.000000	76.604
134.000000	76.519
136.000000	76.437
138.000000	76.357
140.000000	76.279
143.000000	76.163
145.000000	76.086
147.500000	75.988
150.000000	75.891
152.500000	75.794
155.000000	75.698
157.500000	75.607
160.000000	75.521
162.500000	75.443
165.000000	75.373
167.500000	75.310
170.000000	75.253
172.500000	75.199
175.000000	75.147
177.500000	75.096
180.000000	75.047
182.500000	74.998
185.000000	74.950
187.500000	74.902
190.000000	74.854
192.500000	74.807
195.000000	74.761
197.500000	74.716
200.000000	74.673
203.000000	74.623
206.000000	74.574
209.000000	74.527
212.000000	74.481
214.000000	74.450
