* Measurement data measured by REW V5.20.13
* Source: Trace Arithmetic result A / B
* Format: Trace Arithmetic result A / B
* Dated: Oct 9, 2022 1:28:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A over B A = TE 0 R Wide B = 40106-24 — kopia 
* Measurement: TE0 Wide R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
2090.000000	72.270
2120.000000	72.456
2140.000000	72.578
2180.000000	72.823
2200.000000	72.951
2240.000000	73.211
2270.000000	73.403
2300.000000	73.589
2330.000000	73.768
2360.000000	73.942
2400.000000	74.165
2430.000000	74.327
2470.000000	74.535
2500.000000	74.679
2540.000000	74.850
2580.000000	75.001
2620.000000	75.130
2650.000000	75.211
2690.000000	75.297
2720.000000	75.349
2760.000000	75.402
2800.000000	75.443
2850.000000	75.483
2900.000000	75.502
2950.000000	75.498
3000.000000	75.490
3040.000000	75.481
3070.000000	75.474
3110.000000	75.472
3150.000000	75.473
3200.000000	75.470
3250.000000	75.452
3300.000000	75.409
3350.000000	75.344
3400.000000	75.260
3450.000000	75.162
3500.000000	75.053
3550.000000	74.940
3600.000000	74.830
3650.000000	74.725
3700.000000	74.626
3750.000000	74.535
3820.000000	74.418
3870.000000	74.344
3950.000000	74.262
4000.000000	74.227
4060.000000	74.187
4120.000000	74.152
4180.000000	74.119
4250.000000	74.082
4310.000000	74.051
4370.000000	74.020
4440.000000	73.984
4500.000000	73.954
4550.000000	73.930
4620.000000	73.906
4680.000000	73.898
4750.000000	73.895
4820.000000	73.894
4870.000000	73.894
4940.000000	73.893
5000.000000	73.889
5080.000000	73.876
5150.000000	73.857
5220.000000	73.830
5300.000000	73.790
5380.000000	73.743
5450.000000	73.697
5520.000000	73.640
5600.000000	73.560
5700.000000	73.449
5800.000000	73.324
5900.000000	73.188
6000.000000	73.059
6080.000000	72.958
6150.000000	72.866
6220.000000	72.774
6300.000000	72.671
6400.000000	72.557
6500.000000	72.467
6600.000000	72.419
6700.000000	72.406
6800.000000	72.427
6900.000000	72.482
7000.000000	72.581
7100.000000	72.723
7200.000000	72.917
7300.000000	73.160
7400.000000	73.447
7500.000000	73.769
7620.000000	74.195
7750.000000	74.654
7880.000000	75.019
8000.000000	75.169
8120.000000	75.079
8250.000000	74.677
8380.000000	73.982
8500.000000	73.132
8620.000000	72.132
8750.000000	70.939
8850.000000	69.960
9000.000000	68.440
9120.000000	67.212
9250.000000	65.950
9380.000000	64.804
9500.000000	63.864
9620.000000	63.042
9750.000000	62.269
9880.000000	61.610
10000.000000	61.076
10150.000000	60.491
10300.000000	59.996
10440.000000	59.609
10600.000000	59.242
10750.000000	58.976
10900.000000	58.762
11060.000000	58.603
11200.000000	58.527
11380.000000	58.479
11500.000000	58.453
11720.000000	58.346
11800.000000	58.293
12060.000000	58.171
12200.000000	58.206
12410.000000	58.521
12500.000000	58.751
12650.000000	59.297
12800.000000	60.061
13150.000000	62.654
13200.000000	63.124
13400.000000	65.283
13600.000000	67.688
13800.000000	69.966
14000.000000	71.722
14300.000000	72.152
14500.000000	71.139
14750.000000	69.121
15000.000000	66.887
15250.000000	65.128
15500.000000	63.940
15750.000000	63.296
16000.000000	63.072
16250.000000	63.127
16500.000000	63.383
16750.000000	63.672
17000.000000	63.736
17250.000000	63.472
17500.000000	62.799
17750.000000	61.814
18000.000000	60.594
18250.000000	59.255
18500.000000	57.989
18750.000000	56.885
19000.000000	55.979
19250.000000	55.239
19500.000000	54.553
19750.000000	53.669
20000.000000	52.041
